"Time","verifying"
2025-09-10 16:44:00,0
2025-09-10 16:44:05,0
2025-09-10 16:44:10,0
2025-09-10 16:44:15,0
2025-09-10 16:44:20,0
2025-09-10 16:44:25,0
2025-09-10 16:44:30,0
2025-09-10 16:44:35,0
2025-09-10 16:44:40,0
2025-09-10 16:44:45,0
2025-09-10 16:44:50,0
2025-09-10 16:44:55,0
2025-09-10 16:45:00,0
2025-09-10 16:45:05,0
2025-09-10 16:45:10,0
2025-09-10 16:45:15,0
2025-09-10 16:45:20,0
2025-09-10 16:45:25,0
2025-09-10 16:45:30,0
2025-09-10 16:45:35,0
2025-09-10 16:45:40,0
2025-09-10 16:45:45,0
2025-09-10 16:45:50,0
2025-09-10 16:45:55,0
2025-09-10 16:46:00,0
2025-09-10 16:46:05,0
2025-09-10 16:46:10,0
2025-09-10 16:46:15,0
2025-09-10 16:46:20,0
2025-09-10 16:46:25,0
2025-09-10 16:46:30,0
2025-09-10 16:46:35,0
2025-09-10 16:46:40,0
2025-09-10 16:46:45,0
2025-09-10 16:46:50,0
2025-09-10 16:46:55,0
2025-09-10 16:47:00,0
2025-09-10 16:47:05,0
2025-09-10 16:47:10,0
